접수일,회사명,종목코드,공시유형,방향,현재가·종가(원),시가(원),전일대비(%),공시금액(원),시가총액(원),시총대비(%),주식비율(%),희석비율(%),매출대비계약(%),공시상태,요약,원문URL
2026-09-09,한국철강,104700,자사주 처분,부정,9400,9500,-1.16,,346600000000,,,,,신규,자기주식 처분은 매각 목적과 물량에 따라 주식 공급 부담이 될 수 있습니다.,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260909000508
2026-09-09,KISCO홀딩스,001940,자사주 처분,부정,25750,25900,1.38,,360100000000,,,,,신규,자기주식 처분은 매각 목적과 물량에 따라 주식 공급 부담이 될 수 있습니다.,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260909000512
2026-09-09,디에스케이,109740,최대주주 변경,판단 유보,4220,4250,-2.43,,111200000000,,,,,정정,최대주주 변경은 경영권과 사업전략 변화 가능성을 높이지만 인수주체와 자금출처 검증이 필요합니다.,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260909900657
2026-09-09,본느,226340,유상증자,부정,6130,5830,2.34,,50300000000,,,,,정정,유상증자는 자금조달 목적에 따라 성장재원이 될 수 있지만 기존주주의 지분희석과 할인발행 부담이 발생할 수 있습니다.,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260909000528
2026-09-09,SKAI,357880,유상증자,부정,1824,1867,-2.25,,101100000000,,,,,신규,유상증자는 자금조달 목적에 따라 성장재원이 될 수 있지만 기존주주의 지분희석과 할인발행 부담이 발생할 수 있습니다.,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260909000507
2026-09-09,SG,255220,대규모 공급계약,긍정,1217,1214,-0.25,,133700000000,,,,96.35,정정,"대규모 공급계약은 매출 가시성을 높일 수 있지만 계약규모, 기간, 해지조건과 상대방 위험을 확인해야 합니다.",https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260909900661
2026-09-09,시너지이노베이션,048870,중요 자산·타법인 지분 거래,판단 유보,1603,1606,-1.78,44978024000,143800000000,31.278,,,,정정,"중요 자산·지분 거래는 거래가격의 적정성과 자금조달 부담, 사업구조 변화를 확인해야 합니다.",https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260909000500
2026-09-09,바른손이앤에이,035620,유상증자,부정,724,762,4.47,,12900000000,,,,,신규,유상증자는 자금조달 목적에 따라 성장재원이 될 수 있지만 기존주주의 지분희석과 할인발행 부담이 발생할 수 있습니다.,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260909000531
2026-09-09,모아데이타,288980,유상증자,부정,296,307,-5.13,,11400000000,,,,,정정,유상증자는 자금조달 목적에 따라 성장재원이 될 수 있지만 기존주주의 지분희석과 할인발행 부담이 발생할 수 있습니다.,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260909000532
2026-09-09,골드앤에스,035290,거래정지·상장폐지 위험,부정,806,863,-6.6,,100000000,,,,,신규,거래정지·상장폐지 관련 공시는 환금성과 투자원금에 중대한 영향을 줄 수 있습니다.,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260909900730
2026-09-09,세진티에스,067770,거래정지·상장폐지 위험,부정,2535,2510,1.0,,21100000000,,,,,신규,거래정지·상장폐지 관련 공시는 환금성과 투자원금에 중대한 영향을 줄 수 있습니다.,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260909900701
2026-09-09,육일씨엔에쓰,191410,거래정지·상장폐지 위험,부정,2005,1824,9.98,,20400000000,,,,,신규,거래정지·상장폐지 관련 공시는 환금성과 투자원금에 중대한 영향을 줄 수 있습니다.,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260909900732
2026-09-09,수성웹툰,084180,거래정지·상장폐지 위험,부정,378,381,-0.79,,900000000,,,,,신규,거래정지·상장폐지 관련 공시는 환금성과 투자원금에 중대한 영향을 줄 수 있습니다.,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260909900737
2026-09-09,광주신세계,037710,잠정실적·실적전망,판단 유보,35200,35450,-0.85,,270800000000,,,,,신규,잠정실적·실적전망은 시장 기대와의 차이가 핵심이므로 전년 대비뿐 아니라 컨센서스 대비를 확인해야 합니다.,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260909800472
2026-09-09,금양그린파워,282720,대규모 공급계약,긍정,7530,7600,-1.44,31690700000,92600000000,34.223,,,11.97,정정,"대규모 공급계약은 매출 가시성을 높일 수 있지만 계약규모, 기간, 해지조건과 상대방 위험을 확인해야 합니다.",https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260909900454
2026-09-09,피엔티,137400,대규모 공급계약,긍정,29750,29950,-1.65,114534407490,716600000000,15.983,,,,정정,"대규모 공급계약은 매출 가시성을 높일 수 있지만 계약규모, 기간, 해지조건과 상대방 위험을 확인해야 합니다.",https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260909900442
2026-09-09,송우인포텍,0203K0,중요 자산·타법인 지분 거래,판단 유보,10850,10850,0.0,3800000000,,,,,,정정,"중요 자산·지분 거래는 거래가격의 적정성과 자금조달 부담, 사업구조 변화를 확인해야 합니다.",https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260909000424
2026-09-09,이렘,009730,유상증자,부정,1990,2055,-3.16,,16400000000,,,,,정정,유상증자는 자금조달 목적에 따라 성장재원이 될 수 있지만 기존주주의 지분희석과 할인발행 부담이 발생할 수 있습니다.,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260909000431
2026-09-09,아이씨에이치,368600,거래정지·상장폐지 위험,부정,1031,1029,-1.9,,27100000000,,,,,신규,거래정지·상장폐지 관련 공시는 환금성과 투자원금에 중대한 영향을 줄 수 있습니다.,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260909900560
2026-09-09,쎄노텍,222420,자사주 취득,긍정,980,1000,4.7,1000000000,45300000000,2.208,,,,정정,자기주식 취득은 주주환원 신호지만 실제 소각 여부와 취득 규모를 함께 봐야 합니다.,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260909000412
2026-09-09,샘표,007540,자사주 소각,긍정,55700,55700,29.99,36951259400,123200000000,29.993,,,,신규,자기주식 소각은 발행주식 수 감소를 통해 주당가치에 긍정적으로 작용할 수 있습니다.,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260909800465
2026-09-09,샘표,007540,거래정지·상장폐지 위험,부정,55700,55700,29.99,,123200000000,,,,,신규,거래정지·상장폐지 관련 공시는 환금성과 투자원금에 중대한 영향을 줄 수 있습니다.,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260909800513
2026-09-09,이오플로우,294090,거래정지·상장폐지 위험,부정,1490,,0.0,,62300000000,,,,,신규,거래정지·상장폐지 관련 공시는 환금성과 투자원금에 중대한 영향을 줄 수 있습니다.,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260909900520
2026-09-09,케이티,030200,자사주 처분,부정,53500,53300,0.75,,13382400000000,,,,,신규,자기주식 처분은 매각 목적과 물량에 따라 주식 공급 부담이 될 수 있습니다.,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260909000391
2026-09-09,광무,029480,중요 자산·타법인 지분 거래,판단 유보,1547,1548,-0.06,30700020000,92400000000,33.225,,,,신규,"중요 자산·지분 거래는 거래가격의 적정성과 자금조달 부담, 사업구조 변화를 확인해야 합니다.",https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260909000286
2026-09-09,인콘,083640,전환사채(CB),부정,1087,,0.0,,25000000000,,,,,정정,전환사채는 자금조달 수단이지만 전환 시 주식 수 증가와 오버행 위험이 발생할 수 있습니다.,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260909000319
2026-09-09,금양,001570,분할·분할합병,판단 유보,9900,,0.0,,633300000000,,,,,신규,분할은 사업가치 재평가 가능성과 지주회사 할인·재상장 불확실성을 함께 검토해야 합니다.,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260909000291
2026-09-09,캔버스엔,210120,유상증자,부정,1604,1606,-0.12,,15600000000,,,,,정정,유상증자는 자금조달 목적에 따라 성장재원이 될 수 있지만 기존주주의 지분희석과 할인발행 부담이 발생할 수 있습니다.,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260909000329
2026-09-09,디알텍,214680,주식분할·병합,중립,5750,5800,19.79,,80100000000,,,,,신규,주식분할·병합은 이론적 기업가치를 바꾸지 않지만 거래단위와 유동성에 영향을 줄 수 있습니다.,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260909900367
2026-09-09,캔버스엔,210120,전환사채(CB),부정,1604,1606,-0.12,,15600000000,,,,,정정,전환사채는 자금조달 수단이지만 전환 시 주식 수 증가와 오버행 위험이 발생할 수 있습니다.,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260909000346
2026-09-09,캔버스엔,210120,전환사채(CB),부정,1604,1606,-0.12,,15600000000,,,,,정정,전환사채는 자금조달 수단이지만 전환 시 주식 수 증가와 오버행 위험이 발생할 수 있습니다.,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260909000352
2026-09-09,신세계,004170,잠정실적·실적전망,판단 유보,379500,391500,-3.07,,3697800000000,,,,,신규,잠정실적·실적전망은 시장 기대와의 차이가 핵심이므로 전년 대비뿐 아니라 컨센서스 대비를 확인해야 합니다.,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260909800404
2026-09-09,케이티,030200,자사주 처분,부정,53500,53300,0.75,,13382400000000,,,,,신규,자기주식 처분은 매각 목적과 물량에 따라 주식 공급 부담이 될 수 있습니다.,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260909000349
2026-09-09,동아지질,028100,중요 소송,판단 유보,17610,17790,-1.01,26379695646,199600000000,13.216,,,,신규,중요 소송은 예상손실과 영업 지속성에 영향을 줄 수 있어 청구금액과 진행단계를 확인해야 합니다.,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260909800427
2026-09-09,한국가스공사,036460,잠정실적·실적전망,판단 유보,36450,36150,0.83,,3337100000000,,,,,신규,잠정실적·실적전망은 시장 기대와의 차이가 핵심이므로 전년 대비뿐 아니라 컨센서스 대비를 확인해야 합니다.,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260909800206
2026-09-09,현대건설,000720,대규모 공급계약,긍정,127700,133600,-4.42,920797500000,14877100000000,6.189,,,5.43,정정,"대규모 공급계약은 매출 가시성을 높일 수 있지만 계약규모, 기간, 해지조건과 상대방 위험을 확인해야 합니다.",https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260909800203
2026-09-09,특수건설,026150,대규모 공급계약,긍정,3880,3955,-1.9,,69400000000,,,,,정정,"대규모 공급계약은 매출 가시성을 높일 수 있지만 계약규모, 기간, 해지조건과 상대방 위험을 확인해야 합니다.",https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260909900207
2026-09-09,대우건설,047040,대규모 공급계약,긍정,18790,18900,-3.39,222875104500,7992200000000,2.789,,,2.77,정정,"대규모 공급계약은 매출 가시성을 높일 수 있지만 계약규모, 기간, 해지조건과 상대방 위험을 확인해야 합니다.",https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260909800253
2026-09-09,아이퀘스트,262840,자사주 소각,긍정,2715,2740,0.93,1479164001,28400000000,5.208,,,,신규,자기주식 소각은 발행주식 수 감소를 통해 주당가치에 긍정적으로 작용할 수 있습니다.,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260909900188
2026-09-09,덕성,004830,유상증자,부정,3300,3320,-0.6,,52100000000,,,,,신규,유상증자는 자금조달 목적에 따라 성장재원이 될 수 있지만 기존주주의 지분희석과 할인발행 부담이 발생할 수 있습니다.,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260909800251
2026-09-09,베셀,177350,자사주 처분,부정,1598,1587,-0.12,,15900000000,,,,,정정,자기주식 처분은 매각 목적과 물량에 따라 주식 공급 부담이 될 수 있습니다.,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260909000206
2026-09-09,티피씨글로벌,130740,자사주 처분,부정,1960,1987,-1.36,,22400000000,,,,,신규,자기주식 처분은 매각 목적과 물량에 따라 주식 공급 부담이 될 수 있습니다.,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260909000249
2026-09-09,더코디,224060,유상증자,부정,9890,7610,29.96,,39300000000,,,,,정정,유상증자는 자금조달 목적에 따라 성장재원이 될 수 있지만 기존주주의 지분희석과 할인발행 부담이 발생할 수 있습니다.,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260909000220
2026-09-09,까뮤이앤씨,013700,대규모 공급계약,긍정,1644,1658,-0.84,44614906910,99100000000,45.02,,,,정정,"대규모 공급계약은 매출 가시성을 높일 수 있지만 계약규모, 기간, 해지조건과 상대방 위험을 확인해야 합니다.",https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260909800281
2026-09-09,아리바이오LAB,261780,최대주주 변경,판단 유보,3395,3230,3.19,,95300000000,,,,,정정,최대주주 변경은 경영권과 사업전략 변화 가능성을 높이지만 인수주체와 자금출처 검증이 필요합니다.,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260909900299
2026-09-09,로지스몬,223220,중요 소송,판단 유보,100,95,-9.91,,,,,,,신규,중요 소송은 예상손실과 영업 지속성에 영향을 줄 수 있어 청구금액과 진행단계를 확인해야 합니다.,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260909600316
2026-09-09,베셀,177350,자사주 처분,부정,1598,1587,-0.12,,15900000000,,,,,신규,자기주식 처분은 매각 목적과 물량에 따라 주식 공급 부담이 될 수 있습니다.,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260909000310
2026-09-09,인텍플러스,064290,대규모 공급계약,긍정,46850,44650,4.23,6081978000,582400000000,1.044,,,6.78,신규,"대규모 공급계약은 매출 가시성을 높일 수 있지만 계약규모, 기간, 해지조건과 상대방 위험을 확인해야 합니다.",https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260909900274
2026-09-09,더코디,224060,유상증자,부정,9890,7610,29.96,,39300000000,,,,,정정,유상증자는 자금조달 목적에 따라 성장재원이 될 수 있지만 기존주주의 지분희석과 할인발행 부담이 발생할 수 있습니다.,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260909000290
2026-09-09,로지스몬,223220,중요 소송,판단 유보,100,95,-9.91,,,,,,,신규,중요 소송은 예상손실과 영업 지속성에 영향을 줄 수 있어 청구금액과 진행단계를 확인해야 합니다.,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260909600332
2026-09-08,와이지-원,019210,최대주주 변경,판단 유보,13260,13520,-2.0,,506600000000,,,,,정정,최대주주 변경은 경영권과 사업전략 변화 가능성을 높이지만 인수주체와 자금출처 검증이 필요합니다.,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908900479
2026-09-08,SK리츠,395400,감사의견·재무위험,부정,5250,5230,0.38,,1586400000000,,,,,신규,감사의견·자본잠식·횡령배임 공시는 재무정보 신뢰성과 상장유지 가능성에 영향을 줄 수 있습니다.,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908800524
2026-09-08,나노씨엠에스,247660,유상증자,부정,3600,3600,0.0,,15600000000,,,,,정정,유상증자는 자금조달 목적에 따라 성장재원이 될 수 있지만 기존주주의 지분희석과 할인발행 부담이 발생할 수 있습니다.,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908000315
2026-09-08,좋은사람들,033340,거래정지·상장폐지 위험,부정,539,510,6.1,,58800000000,,,,,신규,거래정지·상장폐지 관련 공시는 환금성과 투자원금에 중대한 영향을 줄 수 있습니다.,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908900563
2026-09-08,유니슨,018000,주식분할·병합,중립,1213,1220,-1.46,,320000000000,,,,,정정,주식분할·병합은 이론적 기업가치를 바꾸지 않지만 거래단위와 유동성에 영향을 줄 수 있습니다.,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908900495
2026-09-08,캠시스,050110,거래정지·상장폐지 위험,부정,1063,1061,-1.57,,32300000000,,,,,신규,거래정지·상장폐지 관련 공시는 환금성과 투자원금에 중대한 영향을 줄 수 있습니다.,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908900561
2026-09-08,서울전자통신,027040,유상증자,부정,1770,1802,-1.78,,24500000000,,,,,정정,유상증자는 자금조달 목적에 따라 성장재원이 될 수 있지만 기존주주의 지분희석과 할인발행 부담이 발생할 수 있습니다.,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908000381
2026-09-08,삼호개발,010960,대규모 공급계약,긍정,3085,3100,-0.64,53253486000,74000000000,71.964,,,14.61,정정,"대규모 공급계약은 매출 가시성을 높일 수 있지만 계약규모, 기간, 해지조건과 상대방 위험을 확인해야 합니다.",https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908800586
2026-09-08,바이오인프라,199730,합병·주식교환,판단 유보,1368,1499,-9.58,,100000000,,,,,신규,합병·주식교환은 교환비율과 지배구조 변화에 따라 주주별 이해관계가 달라집니다.,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908000404
2026-09-08,로지스몬,223220,중요 소송,판단 유보,100,95,-9.91,,,,,,,신규,중요 소송은 예상손실과 영업 지속성에 영향을 줄 수 있어 청구금액과 진행단계를 확인해야 합니다.,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20260908000265
